Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
472,Jarred Vanderbilt\vandeja01,SF,20,DEN,9,0,41,6.0,8.4,.714,0.0,0.0,,6.0,8.4,.714,0.0,0.0,,3.6,6.0,9.6,2.4,3.6,1.2,8.4,7.2,12.0,,77,105
472,Jarred Vanderbilt\vandeja01,PF,20,MIN,2,0,5,0.0,9.3,.000,0.0,9.3,.000,0.0,0.0,,18.6,18.6,1.000,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,18.6,,124,116
473,Fred VanVleet\vanvlfr01,PG,25,TOR,48,48,1719,8.0,19.5,.409,3.6,9.4,.388,4.3,10.1,.430,3.9,4.6,.843,0.5,4.5,5.0,8.8,2.5,0.4,3.1,3.3,23.5,,111,106
474,Gabe Vincent\vincega01,PG,23,MIA,6,0,42,4.7,22.1,.211,4.7,18.6,.250,0.0,3.5,.000,0.0,0.0,,0.0,3.5,3.5,3.5,1.2,0.0,0.0,2.3,14.0,,75,114
475,Noah Vonleh\vonleno01,C-PF,24,TOT,33,1,364,6.4,11.4,.562,0.4,1.9,.200,6.0,9.5,.635,3.1,3.8,.800,4.7,11.0,15.7,3.5,1.4,0.8,2.7,4.9,16.2,,120,111
475,Noah Vonleh\vonleno01,C,24,MIN,29,1,347,6.3,11.5,.547,0.3,1.9,.143,6.0,9.6,.625,3.1,3.7,.821,4.5,11.0,15.5,3.5,1.5,0.8,2.5,4.8,15.9,,119,111
475,Noah Vonleh\vonleno01,PF,24,DEN,4,0,17,8.7,8.7,1.000,2.9,2.9,1.000,5.8,5.8,1.000,2.9,5.8,.500,8.7,11.6,20.3,2.9,0.0,0.0,5.8,5.8,23.2,,133,112
476,Nikola Vučević\vucevni01,C,29,ORL,54,54,1763,11.8,25.2,.470,2.3,6.9,.329,9.6,18.3,.523,3.2,4.0,.781,3.6,12.9,16.5,5.6,1.3,1.3,2.1,3.3,29.1,,113,107
477,Dean Wade\wadede01,PF,23,CLE,12,0,71,6.2,8.9,.692,1.4,2.7,.500,4.8,6.2,.778,0.0,0.7,.000,2.1,11.0,13.0,1.4,1.4,2.7,2.1,5.5,13.7,,122,111
478,Moritz Wagner\wagnemo01,C,22,WAS,37,5,707,8.6,15.1,.575,1.5,4.4,.343,7.1,10.6,.671,4.4,5.4,.817,3.4,9.3,12.7,3.2,1.5,1.1,3.6,8.8,23.2,,119,114
479,Dion Waiters\waitedi01,SG,28,MIA,3,0,42,11.6,30.3,.385,9.3,19.8,.471,2.3,10.5,.222,0.0,1.2,.000,0.0,12.8,12.8,3.5,0.0,2.3,3.5,5.8,32.6,,93,108
480,Kemba Walker\walkeke02,PG,29,BOS,50,50,1592,10.6,25.3,.421,5.0,13.3,.377,5.6,12.0,.470,5.9,6.8,.867,1.0,5.2,6.2,7.5,1.4,0.8,3.3,2.3,32.2,,115,109
481,Lonnie Walker\walkelo01,SG,21,SAS,53,4,767,7.3,16.7,.434,1.8,4.4,.408,5.4,12.3,.444,2.4,3.3,.717,1.3,5.9,7.2,2.9,1.8,0.8,1.9,4.4,18.7,,101,114
482,Tyrone Wallace\wallaty01,SG,25,ATL,14,0,160,4.1,12.8,.318,0.3,4.4,.067,3.8,8.4,.448,3.2,5.0,.647,0.9,5.5,6.4,3.8,2.0,0.3,2.9,5.5,11.6,,80,115
483,Taurean Prince\princta02,SF,25,BRK,64,61,1857,7.1,18.9,.376,3.7,11.0,.339,3.4,7.9,.429,1.8,2.3,.798,1.3,8.5,9.7,3.0,1.5,0.6,3.2,4.1,19.8,,94,108
