Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
16,OG Anunoby\anunoog01,SF,22,TOR,63,62,1897,6.7,13.3,.507,2.1,5.4,.381,4.7,7.8,.593,1.5,2.2,.686,1.9,6.7,8.6,2.5,2.2,1.1,1.9,3.9,17.0,,113,104
17,Ryan Arcidiacono\arcidry01,PG,25,CHI,58,4,930,4.7,11.4,.409,2.8,7.1,.391,1.9,4.2,.439,1.4,2.0,.711,1.0,4.7,5.7,5.0,1.4,0.2,1.9,5.0,13.5,,111,113
18,Trevor Ariza\arizatr01,SF,34,TOT,53,21,1493,4.6,10.5,.438,2.5,6.7,.372,2.1,3.8,.556,2.0,2.4,.838,1.1,6.9,7.9,2.9,2.2,0.5,1.8,3.6,13.7,,114,112
18,Trevor Ariza\arizatr01,SF,34,SAC,32,0,791,3.9,10.2,.388,2.7,7.5,.352,1.3,2.7,.488,1.3,1.7,.778,1.3,7.7,9.0,3.1,2.2,0.4,1.7,3.9,11.8,,108,110
18,Trevor Ariza\arizatr01,SF,34,POR,21,21,702,5.3,10.8,.491,2.3,5.8,.400,3.0,5.0,.595,2.8,3.2,.872,0.9,5.9,6.8,2.8,2.3,0.5,1.9,3.3,15.7,,121,113
19,D.J. Augustin\augusdj01,PG,32,ORL,49,6,1215,6.3,15.9,.393,2.4,7.0,.345,3.9,9.0,.430,5.6,6.3,.885,0.7,3.7,4.4,9.0,1.2,0.0,2.8,2.1,20.5,,114,114
20,Deandre Ayton\aytonde01,C,21,PHO,30,25,996,12.1,22.1,.548,0.0,0.1,.000,12.1,22.0,.552,2.9,3.7,.769,5.8,11.3,17.1,2.7,1.0,2.4,3.4,4.6,27.1,,110,108
21,Dwayne Bacon\bacondw01,SG,24,CHO,39,11,687,6.2,17.8,.348,1.4,4.9,.284,4.8,12.9,.373,2.6,3.9,.660,1.1,6.2,7.3,3.8,1.7,0.1,2.7,3.8,16.3,,86,114
22,Marvin Bagley III\baglema01,PF,20,SAC,13,6,334,11.4,24.4,.467,0.6,3.2,.182,10.8,21.2,.510,3.7,4.5,.806,4.2,9.9,14.2,1.5,0.9,1.8,2.6,6.3,27.0,,102,110
23,Lonzo Ball\balllo01,PG,22,NOP,56,47,1817,6.6,16.0,.412,3.5,9.2,.383,3.1,6.7,.453,1.0,1.7,.567,1.6,7.2,8.8,10.0,2.0,0.8,4.4,2.8,17.7,,105,111
24,Mo Bamba\bambamo01,C,21,ORL,60,0,868,7.4,15.9,.468,2.1,5.8,.356,5.3,10.0,.534,1.7,2.6,.674,5.5,11.3,16.8,2.4,1.2,4.8,2.4,6.5,18.7,,111,103
25,J.J. Barea\bareajo01,PG,35,DAL,26,4,391,9.2,22.2,.413,3.6,9.4,.382,5.6,12.8,.437,2.1,2.2,.944,1.2,4.7,5.9,12.3,0.5,0.2,4.3,3.1,24.0,,110,115
26,Harrison Barnes\barneha02,PF,27,SAC,64,64,2231,7.1,15.5,.459,2.0,5.3,.383,5.1,10.2,.498,4.3,5.3,.803,1.3,5.4,6.7,3.3,0.8,0.2,1.7,1.8,20.6,,116,115
27,RJ Barrett\barrerj01,SG,19,NYK,56,55,1704,8.3,20.8,.402,1.8,5.6,.320,6.5,15.1,.432,4.5,7.3,.614,1.4,6.5,8.0,4.1,1.6,0.5,3.5,3.5,22.9,,95,114
28,Will Barton\bartowi01,SF,29,DEN,58,58,1916,8.6,19.0,.450,2.8,7.4,.375,5.8,11.6,.498,2.6,3.4,.767,2.0,7.4,9.4,5.5,1.6,0.7,2.3,3.1,22.5,,112,110
29,Keita Bates-Diop\bateske01,SF,24,TOT,39,0,665,6.2,14.5,.428,2.2,6.6,.330,4.1,8.0,.509,3.4,4.8,.710,1.5,6.4,7.8,2.1,1.2,1.5,1.0,2.7,18.0,,112,113
29,Keita Bates-Diop\bateske01,SF,24,MIN,37,0,646,6.3,14.8,.422,2.2,6.8,.330,4.0,8.0,.500,3.3,4.7,.708,1.5,6.4,7.9,2.2,1.2,1.4,1.0,2.6,18.0,,111,113
29,Keita Bates-Diop\bateske01,SF,24,DEN,2,0,19,5.2,5.2,1.000,0.0,0.0,,5.2,5.2,1.000,7.8,10.4,.750,0.0,5.2,5.2,0.0,0.0,2.6,0.0,5.2,18.2,,193,112
30,Nicolas Batum\batumni01,SF,31,CHO,22,3,505,2.8,8.0,.346,1.4,4.9,.286,1.4,3.2,.438,0.9,1.0,.900,2.5,7.4,9.9,6.5,1.7,0.8,2.2,4.1,7.8,,107,112
31,Aron Baynes\baynear01,C,33,PHO,42,28,934,9.3,19.3,.480,3.0,8.5,.351,6.3,10.8,.582,2.8,3.8,.747,3.6,8.4,12.0,3.4,0.5,1.2,2.5,7.1,24.4,,113,113
32,Kent Bazemore\bazemke01,SF-SG,30,TOT,64,21,1604,5.5,14.8,.374,2.3,6.8,.342,3.2,8.0,.401,3.3,4.2,.768,0.7,7.6,8.3,2.5,2.1,1.2,2.5,5.4,16.7,,96,111
32,Kent Bazemore\bazemke01,SF,30,POR,43,21,1111,4.8,14.0,.347,2.4,7.3,.327,2.4,6.6,.368,2.5,3.1,.806,0.6,6.8,7.4,2.6,1.9,1.3,2.6,5.2,14.6,,92,113
32,Kent Bazemore\bazemke01,SG,30,SAC,21,0,493,7.1,16.7,.426,2.2,5.6,.386,4.9,11.1,.446,5.0,6.9,.729,1.1,9.3,10.4,2.4,2.5,0.8,2.5,6.0,21.5,,104,108
33,Darius Bazley\bazleda01,PF,19,OKC,53,8,909,4.7,12.3,.383,1.6,5.4,.300,3.1,7.0,.446,1.7,2.5,.681,1.1,9.4,10.5,1.6,1.1,1.9,2.1,2.4,12.7,,90,108
34,Bradley Beal\bealbr01,SG,26,WAS,57,57,2053,13.5,29.6,.455,3.9,10.9,.353,9.6,18.7,.515,8.8,10.4,.842,1.2,4.3,5.5,7.9,1.6,0.5,4.4,2.9,39.6,,113,117
35,Malik Beasley\beaslma01,SG,23,TOT,55,14,1209,9.1,21.3,.425,4.3,11.0,.388,4.8,10.3,.465,2.2,2.6,.818,0.7,5.2,5.9,3.0,1.6,0.3,2.3,3.1,24.5,,105,113
35,Malik Beasley\beaslma01,SG,23,DEN,41,0,746,7.7,19.9,.389,3.8,10.7,.360,3.9,9.3,.421,2.2,2.5,.868,0.6,4.5,5.1,3.2,2.1,0.4,2.4,3.3,21.5,,100,111
35,Malik Beasley\beaslma01,SG,23,MIN,14,14,463,11.0,23.4,.472,4.9,11.5,.426,6.1,11.8,.517,2.1,2.8,.750,0.9,6.2,7.1,2.7,0.9,0.2,2.1,2.7,29.1,,111,115
36,Marco Belinelli\belinma01,SG,33,SAS,52,0,779,6.5,16.7,.391,3.5,9.6,.368,3.0,7.2,.422,2.0,2.5,.780,0.2,5.3,5.5,3.9,0.6,0.1,1.0,2.5,18.6,,108,118
37,Jordan Bell\belljo01,C-PF,25,TOT,29,0,256,6.4,12.2,.522,0.7,2.2,.333,5.6,10.0,.564,3.4,5.6,.613,5.4,9.3,14.7,2.9,0.5,1.8,3.8,3.4,16.9,,108,112
37,Jordan Bell\belljo01,C,25,MIN,27,0,235,6.3,11.9,.533,0.4,1.8,.222,5.9,10.1,.588,3.4,5.7,.586,5.5,9.9,15.4,2.8,0.4,2.0,3.6,3.4,16.4,,108,112
37,Jordan Bell\belljo01,PF,25,MEM,2,0,21,6.7,15.6,.429,4.4,6.7,.667,2.2,8.9,.250,4.4,4.4,1.000,4.4,2.2,6.7,4.4,2.2,0.0,6.7,4.4,22.2,,103,113
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,4,915,5.3,11.6,.456,0.8,3.3,.231,4.5,8.3,.546,1.3,2.4,.542,1.7,6.0,7.7,4.1,2.8,1.0,3.1,4.3,12.7,,95,112
39,Dragan Bender\bendedr01,SF,22,TOT,16,3,286,6.8,15.2,.446,2.5,7.1,.349,4.3,8.1,.531,1.6,2.3,.714,2.6,9.4,12.0,4.6,0.7,1.5,3.5,6.9,17.6,,102,110
39,Dragan Bender\bendedr01,SF,22,MIL,7,0,91,5.0,10.5,.476,2.0,4.5,.444,3.0,6.0,.500,1.0,1.5,.667,0.0,10.0,10.0,4.5,0.0,2.5,2.5,8.0,13.1,,105,102
39,Dragan Bender\bendedr01,SF,22,GSW,9,3,195,7.6,17.4,.437,2.7,8.3,.324,4.9,9.1,.541,2.0,2.7,.727,3.9,9.1,13.0,4.7,1.0,1.0,3.9,6.4,19.9,,101,114
40,Dāvis Bertāns\bertada01,PF,27,WAS,54,4,1583,7.8,18.0,.434,5.9,13.9,.424,1.9,4.1,.471,3.1,3.6,.852,1.0,6.2,7.2,2.7,1.1,1.0,1.7,4.1,24.6,,120,117
41,Patrick Beverley\beverpa01,PG,31,LAC,48,48,1299,5.0,11.8,.428,2.7,7.2,.379,2.3,4.6,.504,1.0,1.5,.659,2.0,7.4,9.4,6.5,1.9,0.9,2.3,5.4,13.8,,115,106
42,Khem Birch\birchkh01,C,27,ORL,40,24,777,3.5,7.2,.487,0.0,0.1,.000,3.5,7.2,.491,2.6,4.2,.612,4.4,6.9,11.3,2.2,1.0,1.3,1.4,4.6,9.6,,116,110
43,Goga Bitadze\bitadgo01,C,20,IND,49,2,410,7.2,15.3,.473,0.7,4.3,.167,6.5,11.1,.591,2.9,3.9,.727,2.6,8.8,11.4,2.5,0.7,3.8,3.0,6.8,18.1,,100,106
44,Bismack Biyombo\biyombi01,C,27,CHO,53,29,1029,7.4,13.5,.543,0.0,0.0,,7.4,13.5,.543,4.4,7.4,.603,5.8,9.2,15.0,2.4,0.5,2.4,2.3,5.6,19.1,,116,112
45,Nemanja Bjelica\bjeline01,PF,31,SAC,64,61,1821,7.7,16.2,.475,3.3,7.9,.424,4.3,8.3,.524,1.6,2.0,.822,2.9,8.2,11.0,4.8,1.4,0.9,2.5,5.2,20.3,,117,111
46,Eric Bledsoe\bledser01,PG,30,MIL,56,56,1524,9.6,19.9,.482,2.1,6.0,.348,7.5,13.8,.540,4.7,5.8,.813,1.2,6.5,7.8,9.1,1.6,0.7,4.2,3.6,25.9,,113,103
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,53,20,1510,8.9,20.6,.433,4.4,12.3,.361,4.5,8.4,.541,2.5,3.4,.724,0.5,5.0,5.5,5.5,1.7,0.5,2.9,3.7,24.8,,108,113
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,63,2083,9.8,21.9,.447,4.4,10.7,.414,5.4,11.2,.479,5.9,6.5,.903,0.9,5.1,6.1,3.1,0.8,0.2,3.7,2.6,29.8,,111,113
49,Jonah Bolden\boldejo01,PF,24,TOT,7,0,47,4.1,11.2,.364,0.0,4.1,.000,4.1,7.1,.571,2.0,4.1,.500,3.0,6.1,9.1,0.0,3.0,2.0,2.0,10.2,10.2,,79,106
49,Jonah Bolden\boldejo01,PF,24,PHI,4,0,14,6.9,10.4,.667,0.0,3.5,.000,6.9,6.9,1.000,0.0,6.9,.000,0.0,3.5,3.5,0.0,3.5,0.0,6.9,13.9,13.9,,56,107
49,Jonah Bolden\boldejo01,PF,24,PHO,3,0,33,2.9,11.5,.250,0.0,4.3,.000,2.9,7.2,.400,2.9,2.9,1.000,4.3,7.2,11.5,0.0,2.9,2.9,0.0,8.6,8.6,,93,106
50,Marques Bolden\boldema01,C,21,CLE,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,32.4,32.4,0.0,16.2,0.0,0.0,16.2,0.0,,,69
51,Jordan Bone\bonejo01,PG,22,DET,10,0,53,4.6,18.6,.250,1.9,9.3,.200,2.8,9.3,.300,0.0,0.0,,0.0,3.7,3.7,7.4,0.9,0.0,1.9,5.6,11.1,,76,117
52,Isaac Bonga\bongais01,SF,20,WAS,58,41,1025,4.4,8.4,.522,1.0,2.5,.400,3.4,5.9,.574,2.4,2.9,.813,2.8,5.6,8.3,2.8,1.7,1.0,1.9,6.2,12.1,,121,116
53,Devin Booker\bookede01,SG,23,PHO,62,62,2241,11.5,23.6,.487,2.7,7.4,.360,8.8,16.2,.544,8.6,9.3,.916,0.6,4.9,5.5,8.6,1.0,0.3,5.2,4.0,34.2,,114,115
54,Chris Boucher\bouchch01,PF,27,TOR,55,0,724,7.8,17.1,.458,1.8,6.5,.283,6.0,10.6,.565,5.4,6.8,.796,6.2,9.8,15.9,1.5,1.3,3.5,1.5,6.9,22.9,,122,101
55,Brian Bowen\bowenbr02,SG,21,IND,5,1,29,3.4,15.1,.222,0.0,3.4,.000,3.4,11.8,.286,0.0,0.0,,1.7,10.1,11.8,0.0,0.0,1.7,1.7,3.4,6.7,,50,109
56,Ky Bowman\bowmaky01,PG,22,GSW,45,12,1015,6.3,15.1,.417,1.6,5.0,.308,4.8,10.1,.472,1.6,1.9,.829,1.1,4.6,5.7,6.2,2.1,0.5,3.3,4.8,15.8,,96,115
57,Avery Bradley\bradlav01,SG,29,LAL,49,44,1186,6.8,15.4,.444,2.5,6.9,.364,4.3,8.4,.510,0.8,1.0,.833,0.7,3.9,4.6,2.5,1.7,0.2,1.9,4.4,17.0,,104,109
58,Tony Bradley\bradlto01,C,22,UTA,50,2,535,9.4,14.1,.665,0.1,0.1,1.000,9.3,14.0,.662,2.4,3.6,.650,8.2,11.5,19.7,1.5,1.1,2.3,2.1,8.9,21.2,,135,105
59,Jarrell Brantley\brantja01,PF,23,UTA,5,0,13,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,18.8,18.8,3.8,0.0,7.5,7.5,7.5,0.0,,27,97
60,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0,53,5.5,20.2,.273,0.9,8.3,.111,4.6,11.9,.385,3.7,4.6,.800,1.8,2.8,4.6,3.7,0.0,0.9,1.8,2.8,15.6,,82,119
61,Mikal Bridges\bridgmi01,SF,23,PHO,65,24,1772,5.6,10.9,.516,1.5,4.2,.352,4.1,6.6,.621,2.4,2.8,.848,1.6,5.3,6.9,3.1,2.5,1.0,1.7,3.8,15.1,,119,110
62,Miles Bridges\bridgmi02,SF,21,CHO,65,64,1995,8.0,18.9,.424,2.5,7.5,.330,5.5,11.4,.486,2.7,3.3,.809,2.2,6.9,9.1,2.9,1.0,1.2,2.4,3.3,21.2,,103,114
63,Oshae Brissett\brissos01,SF,21,TOR,19,0,135,4.6,12.7,.361,1.1,5.3,.200,3.5,7.4,.476,2.8,3.5,.800,3.2,6.0,9.2,2.5,1.4,0.4,2.5,6.4,13.1,,96,107
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,1,180,5.9,15.9,.373,5.4,13.7,.392,0.5,2.2,.250,1.9,2.2,.875,1.3,10.2,11.6,3.0,1.3,1.1,1.6,4.0,19.1,,115,109
65,Malcolm Brogdon\brogdma01,PG,27,IND,48,48,1472,9.6,21.8,.439,2.0,6.5,.313,7.5,15.4,.491,4.8,5.4,.895,1.3,6.2,7.5,11.4,1.1,0.3,3.8,2.9,25.9,,110,111
66,Dillon Brooks\brookdi01,SG,24,MEM,65,65,1851,9.4,23.3,.402,3.3,9.0,.369,6.1,14.3,.423,3.6,4.5,.809,1.5,3.8,5.4,3.2,1.4,0.6,2.7,6.2,25.7,,100,113
67,Bruce Brown\brownbr01,SG,23,DET,58,43,1634,6.0,13.5,.443,1.0,2.9,.344,5.0,10.6,.470,2.6,3.6,.739,1.8,6.4,8.2,6.9,1.9,0.9,3.0,4.9,15.6,,106,112
68,Charlie Brown\brownch02,SG,22,ATL,10,0,40,7.0,22.1,.316,3.5,10.5,.333,3.5,11.6,.300,5.8,5.8,1.000,2.3,2.3,4.7,2.3,2.3,2.3,3.5,3.5,23.3,,93,114
69,Jaylen Brown\brownja02,SF,23,BOS,50,50,1702,10.7,21.9,.490,3.0,8.0,.381,7.7,14.0,.552,4.5,6.1,.736,1.5,7.5,9.0,3.1,1.6,0.5,3.3,4.3,29.0,,111,108
70,Moses Brown\brownmo01,C,20,POR,9,0,33,5.8,14.4,.400,0.0,0.0,,5.8,14.4,.400,4.3,11.6,.375,4.3,15.9,20.2,1.4,1.4,1.4,4.3,10.1,15.9,,81,107
71,Sterling Brown\brownst02,SF,24,MIL,45,1,665,5.5,15.0,.367,2.5,7.8,.316,3.0,7.1,.423,1.9,2.4,.771,1.9,9.4,11.3,3.2,1.5,0.5,2.5,3.1,15.3,,96,102
72,Troy Brown Jr.\browntr01,SG,20,WAS,61,14,1519,7.0,15.5,.453,1.5,4.5,.345,5.5,11.1,.496,2.6,3.5,.754,2.0,8.0,10.0,4.4,2.3,0.2,2.0,3.4,18.3,,110,114
73,Jalen Brunson\brunsja01,PG,23,DAL,57,16,1022,8.6,18.4,.466,2.0,5.7,.358,6.5,12.7,.515,2.9,3.6,.813,1.0,5.3,6.3,8.9,1.0,0.2,3.1,3.5,22.1,,114,113
74,Thomas Bryant\bryanth01,C,22,WAS,38,28,901,9.5,15.9,.599,1.1,2.8,.407,8.4,13.1,.640,3.6,4.9,.737,3.9,9.6,13.5,3.7,0.7,1.7,2.5,4.4,23.8,,126,115
75,Reggie Bullock\bullore01,SG,28,NYK,29,19,684,6.4,15.9,.402,2.6,7.9,.333,3.8,8.0,.469,1.2,1.5,.810,0.9,3.9,4.8,3.0,1.8,0.2,1.4,4.0,16.7,,105,115
76,Trey Burke\burketr01,PG,27,PHI,25,0,329,8.7,18.8,.465,2.4,5.6,.421,6.3,13.1,.483,1.9,2.7,.722,2.2,3.0,5.2,7.8,1.0,0.1,1.8,3.1,21.7,,118,113
77,Alec Burks\burksal01,SG,28,TOT,59,18,1612,8.4,20.9,.404,3.0,8.1,.366,5.4,12.7,.428,6.7,7.5,.896,1.3,6.5,7.8,5.1,1.7,0.5,2.5,3.6,26.5,,110,114
77,Alec Burks\burksal01,SG,28,GSW,48,18,1390,8.4,20.7,.406,2.9,7.7,.375,5.5,13.0,.424,6.9,7.7,.897,1.3,6.5,7.8,5.2,1.7,0.6,2.6,3.7,26.6,,110,114
77,Alec Burks\burksal01,SG,28,PHI,11,0,222,8.5,21.9,.390,3.5,10.7,.327,5.0,11.2,.451,5.3,5.9,.889,1.3,6.6,7.9,4.4,1.8,0.0,2.0,2.8,25.8,,109,110
78,Deonte Burton\burtode02,SG,26,OKC,34,0,284,6.7,18.0,.371,1.7,7.9,.217,5.0,10.1,.492,1.0,2.1,.500,1.0,7.2,8.2,1.9,0.9,1.7,2.4,4.8,16.1,,83,110
79,Jimmy Butler\butleji01,SF,30,MIA,54,54,1851,8.7,19.1,.454,0.8,3.1,.248,7.9,16.0,.494,10.8,13.0,.833,2.6,6.9,9.5,8.7,2.4,0.8,3.1,2.0,28.9,,123,108
80,Bruno Caboclo\cabocbr01,SF,24,TOT,27,0,220,6.8,16.3,.416,0.8,5.9,.143,5.9,10.4,.571,0.8,1.1,.800,4.7,6.6,11.2,2.5,2.5,3.4,1.9,5.3,15.3,,100,106
80,Bruno Caboclo\cabocbr01,SF,24,MEM,22,0,192,6.8,16.8,.406,1.0,6.1,.160,5.8,10.7,.545,0.5,0.7,.667,4.1,6.6,10.7,2.4,2.4,2.9,1.7,5.6,15.1,,97,106
80,Bruno Caboclo\cabocbr01,SF,24,HOU,5,0,28,6.6,13.3,.500,0.0,5.0,.000,6.6,8.3,.800,3.3,3.3,1.000,8.3,6.6,14.9,3.3,3.3,6.6,3.3,3.3,16.6,,119,100
81,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,63,20,1603,6.5,13.8,.472,2.6,6.6,.394,3.9,7.3,.543,2.2,2.8,.779,1.1,2.8,3.9,3.1,1.6,0.4,1.6,3.5,17.8,,117,110
82,Vlatko Čančar\cancavl01,SF,22,DEN,14,0,45,6.6,16.5,.400,1.1,6.6,.167,5.5,9.9,.556,4.4,4.4,1.000,5.5,5.5,11.0,3.3,1.1,1.1,3.3,7.7,18.7,,106,111
83,Clint Capela\capelca01,C,25,HOU,39,39,1279,8.9,14.1,.629,0.0,0.0,,8.9,14.1,.629,2.0,3.8,.529,6.1,13.4,19.5,1.7,1.2,2.6,2.3,3.7,19.7,,124,105
84,DeMarre Carroll\carrode01,SF,33,TOT,21,0,231,4.3,11.1,.389,1.4,5.5,.259,2.9,5.5,.519,4.9,7.4,.667,2.3,7.4,9.6,3.7,0.8,0.8,3.3,5.7,15.0,,101,114
84,DeMarre Carroll\carrode01,SF,33,SAS,15,0,135,3.2,10.3,.310,1.1,4.6,.231,2.1,5.7,.375,4.3,7.1,.600,2.5,8.5,11.0,3.9,0.7,0.7,3.6,7.1,11.7,,88,115
84,DeMarre Carroll\carrode01,SF,33,HOU,6,0,96,5.8,12.1,.480,1.9,6.8,.286,3.9,5.3,.727,5.8,7.7,.750,1.9,5.8,7.7,3.4,1.0,1.0,2.9,3.9,19.4,,118,112
85,Jevon Carter\carteje01,PG,24,PHO,50,2,754,5.1,12.9,.400,2.9,7.3,.393,2.3,5.5,.409,1.3,1.6,.840,1.6,4.6,6.2,4.1,2.4,0.8,1.9,4.8,14.5,,107,111
86,Vince Carter\cartevi01,SF,43,ATL,60,0,876,5.7,16.2,.352,3.2,10.7,.302,2.4,5.4,.451,1.2,1.5,.793,1.0,5.6,6.6,2.6,1.2,1.3,1.8,4.8,15.9,,94,116
87,Wendell Carter Jr.\cartewe01,C,20,CHI,43,43,1256,7.0,13.2,.534,0.2,1.1,.207,6.8,12.0,.564,4.3,5.8,.737,5.3,10.2,15.5,2.0,1.3,1.4,2.8,6.2,18.6,,115,108
88,Michael Carter-Williams\cartemi01,SG,28,ORL,42,0,773,6.6,15.3,.434,1.3,4.3,.294,5.4,11.0,.489,4.5,5.5,.828,2.8,6.1,8.8,6.4,2.8,1.3,3.0,4.9,19.1,,110,107
89,Alex Caruso\carusal01,PG,25,LAL,58,1,1032,5.1,12.0,.423,1.8,4.9,.355,3.3,7.1,.471,2.7,3.5,.763,0.6,4.5,5.2,4.7,2.8,0.8,2.1,3.9,14.6,,108,106
90,Willie Cauley-Stein\caulewi01,C,26,TOT,54,39,1097,7.6,13.2,.579,0.0,0.0,.000,7.6,13.2,.581,1.7,2.9,.606,3.7,10.1,13.8,3.1,2.1,2.7,1.7,5.3,17.0,,118,108
90,Willie Cauley-Stein\caulewi01,C,26,GSW,41,37,940,7.3,13.1,.560,0.0,0.0,,7.3,13.1,.560,1.8,2.9,.614,3.6,9.4,13.0,3.1,2.3,2.5,1.8,5.2,16.4,,114,109
90,Willie Cauley-Stein\caulewi01,C,26,DAL,13,2,157,9.6,13.9,.689,0.0,0.3,.000,9.6,13.6,.705,1.5,2.8,.556,4.0,14.5,18.5,3.1,1.2,3.4,1.5,5.9,20.7,,136,103
91,Tyson Chandler\chandty01,C,37,HOU,26,5,219,3.0,3.8,.778,0.0,0.0,,3.0,3.8,.778,1.3,2.8,.462,5.3,8.7,14.0,1.3,1.3,1.7,1.7,6.8,7.2,,135,109
92,Wilson Chandler\chandwi01,SF,32,BRK,35,3,734,4.8,11.8,.404,2.4,7.8,.306,2.4,4.0,.597,1.3,1.5,.870,0.7,8.7,9.4,2.5,1.0,0.8,2.2,5.1,13.3,,99,109
93,Joe Chealey\chealjo01,PG,24,CHO,4,0,33,0.0,10.6,.000,0.0,6.1,.000,0.0,4.6,.000,3.0,3.0,1.000,0.0,0.0,0.0,1.5,6.1,0.0,3.0,3.0,3.0,,29,108
94,Zylan Cheatham\cheatzy01,SF,24,NOP,3,0,31,3.0,7.5,.400,0.0,1.5,.000,3.0,6.0,.500,0.0,0.0,,1.5,7.5,8.9,3.0,0.0,1.5,4.5,7.5,6.0,,67,114
95,Chris Chiozza\chiozch01,PG,24,TOT,21,0,249,6.0,14.9,.405,3.4,7.7,.439,2.6,7.2,.368,0.4,0.4,1.000,1.1,5.5,6.6,9.1,2.8,0.4,3.2,4.3,15.9,,107,111
95,Chris Chiozza\chiozch01,PG,24,WAS,10,0,123,3.8,12.9,.294,2.7,6.1,.438,1.1,6.8,.167,0.0,0.0,,0.0,5.7,5.7,10.6,3.8,0.8,3.4,4.6,10.2,,91,111
95,Chris Chiozza\chiozch01,PG,24,BRK,11,0,126,8.3,16.9,.489,4.1,9.4,.440,4.1,7.5,.550,0.8,0.8,1.000,2.3,5.3,7.5,7.5,1.9,0.0,3.0,4.1,21.5,,121,110
96,Marquese Chriss\chrisma01,PF,22,GSW,59,21,1196,8.4,15.4,.545,0.3,1.6,.205,8.1,13.8,.584,4.8,6.2,.769,4.6,10.0,14.6,4.6,1.6,2.5,3.1,4.9,21.9,,117,110
97,Gary Clark\clarkga01,PF,25,TOT,35,1,425,4.3,11.3,.376,3.1,9.6,.326,1.1,1.7,.667,0.9,1.0,.889,3.0,6.5,9.5,1.7,0.6,1.6,0.6,3.5,12.5,,120,112
97,Gary Clark\clarkga01,PF,25,HOU,18,0,212,5.0,12.9,.390,3.9,11.2,.353,1.1,1.8,.625,1.3,1.5,.857,2.4,6.4,8.8,2.6,0.4,1.5,0.4,4.6,15.3,,127,113
97,Gary Clark\clarkga01,PF,25,ORL,17,1,213,3.4,9.6,.357,2.3,8.0,.286,1.1,1.6,.714,0.5,0.5,1.000,3.7,6.6,10.3,0.7,0.7,1.6,0.7,2.3,9.6,,110,111
98,Brandon Clarke\clarkbr01,PF,23,MEM,50,3,1086,10.9,17.5,.623,0.9,2.2,.404,10.0,15.3,.654,3.1,4.0,.785,3.4,9.2,12.6,3.1,1.1,1.8,2.0,3.5,25.9,,129,109
99,Jordan Clarkson\clarkjo01,SG,27,TOT,63,0,1527,11.2,24.0,.465,4.1,11.3,.368,7.0,12.8,.550,3.9,4.6,.841,1.5,3.8,5.3,4.0,1.4,0.5,2.6,2.9,30.4,,114,114
99,Jordan Clarkson\clarkjo01,SG,27,CLE,29,0,666,10.5,23.8,.442,4.3,11.6,.371,6.2,12.2,.509,5.6,6.3,.884,1.5,3.5,5.0,5.1,1.2,0.6,2.8,2.4,30.9,,116,118
99,Jordan Clarkson\clarkjo01,SG,27,UTA,34,0,861,11.7,24.2,.482,4.0,11.0,.366,7.6,13.2,.579,2.6,3.3,.780,1.5,4.1,5.5,3.1,1.5,0.4,2.4,3.3,30.0,,112,111
100,Nicolas Claxton\claxtni01,PF,20,BRK,15,0,187,6.9,12.2,.563,0.3,1.8,.143,6.6,10.4,.634,2.8,5.3,.524,4.8,6.3,11.2,4.1,0.3,2.0,2.3,3.6,16.7,,118,110
101,Chris Clemons\clemoch01,SG,22,HOU,29,0,251,9.4,23.3,.405,6.1,17.4,.351,3.3,5.9,.563,1.1,1.3,.857,0.6,3.7,4.3,4.1,1.1,0.9,3.1,3.7,26.1,,104,113
102,Antonius Cleveland\clevean01,SG,25,DAL,6,0,22,4.4,13.2,.333,0.0,2.2,.000,4.4,11.0,.400,2.2,4.4,.500,0.0,6.6,6.6,0.0,2.2,2.2,2.2,4.4,11.0,,66,108
103,Amir Coffey\coffeam01,SG,22,LAC,13,0,98,6.3,15.9,.394,0.5,3.4,.143,5.8,12.5,.462,0.5,1.4,.333,1.9,4.8,6.7,4.3,0.5,0.5,1.4,5.8,13.5,,94,112
104,John Collins\collijo01,PF,22,ATL,41,41,1363,12.1,20.7,.583,2.0,5.0,.401,10.1,15.7,.642,4.1,5.1,.800,4.0,10.3,14.2,2.1,1.1,2.3,2.6,4.7,30.3,,124,112
105,Zach Collins\colliza01,PF,22,POR,3,3,86,5.0,10.5,.474,1.7,3.9,.429,3.3,6.7,.500,3.3,3.3,1.000,2.2,4.4,6.7,3.3,0.0,1.1,3.3,6.1,15.0,,112,119
